document_id,timestamp,state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
1,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,01/01/2017,3300,3500,3400
2,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,02/01/2017,3300,3500,3400
3,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,03/01/2017,3250,3450,3400
4,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,04/01/2017,3200,3400,3300
5,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,05/01/2017,3150,3400,3375
6,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,06/01/2017,3200,3400,3375
7,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,08/01/2017,3250,3500,3350
8,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,09/01/2017,3250,3500,3350
9,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,10/01/2017,3250,3500,3350
10,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,11/01/2017,3250,3450,3350
11,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,12/01/2017,3350,3500,3400
12,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,14/01/2017,3400,3550,3500
13,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,15/01/2017,3300,3400,3350
14,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,16/01/2017,3325,3500,3400
15,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,17/01/2017,3325,3500,3400
16,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,18/01/2017,3300,3500,3400
17,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,19/01/2017,3350,3500,3400
18,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,20/01/2017,3350,3500,3400
19,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,21/01/2017,3400,3500,3450
20,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,22/01/2017,3300,3500,3400
21,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,23/01/2017,3250,3500,3400
22,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,24/01/2017,3250,3500,3400
23,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,25/01/2017,3250,3400,3300
24,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,27/01/2017,3250,3400,3300
25,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,28/01/2017,3200,3500,3400
26,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,29/01/2017,3200,3400,3300
27,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,30/01/2017,3250,3400,3300
28,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,31/01/2017,3000,3600,3500
29,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,01/02/2017,3000,3600,3400
30,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,02/02/2017,3250,3500,3400
31,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,03/02/2017,3250,3450,3300
32,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,04/02/2017,3250,3450,3300
33,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,05/02/2017,3200,3400,3300
34,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,06/02/2017,3300,3500,3400
35,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,07/02/2017,3200,3400,3300
36,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,08/02/2017,3200,3400,3300
37,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,09/02/2017,3350,3500,3400
38,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,11/02/2017,3250,3400,3300
39,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,12/02/2017,3250,3400,3300
40,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,13/02/2017,3300,3500,3400
41,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,14/02/2017,3300,3500,3400
42,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,15/02/2017,3300,3500,3400
43,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,16/02/2017,3350,3500,3400
44,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,17/02/2017,3350,3500,3400
45,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,18/02/2017,3300,3500,3400
46,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,19/02/2017,3375,3625,3500
47,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,20/02/2017,3375,3625,3500
48,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,21/02/2017,3375,3550,3500
49,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,22/02/2017,3375,3600,3500
50,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,23/02/2017,3350,3500,3450
51,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,24/02/2017,3350,3500,3450
52,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,25/02/2017,3000,3400,3250
53,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,26/02/2017,3000,3400,3300
54,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,27/02/2017,3000,3400,3250
55,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,28/02/2017,3150,3500,3300
56,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,01/03/2017,3000,3400,3300
57,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,02/03/2017,3000,3350,3250
58,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,03/03/2017,3000,3400,3300
59,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,04/03/2017,3000,3400,3350
60,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,05/03/2017,3000,3400,3250
61,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,06/03/2017,3000,3400,3250
62,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,07/03/2017,3000,3500,3350
63,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,08/03/2017,3000,3400,3250
64,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,09/03/2017,3000,3350,3250
65,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,10/03/2017,3000,3350,3250
66,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,13/03/2017,3000,3300,3250
67,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,14/03/2017,3000,3300,3250
68,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,15/03/2017,3000,3300,3250
69,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,16/03/2017,3000,3400,3350
70,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,19/03/2017,3000,3350,3300
71,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,20/03/2017,3150,3300,3250
72,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,21/03/2017,3000,3350,3250
73,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,22/03/2017,3000,3350,3300
74,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,23/03/2017,3250,3600,3550
75,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,24/03/2017,3250,3600,3550
76,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,25/03/2017,3300,3500,3400
77,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,26/03/2017,3300,3500,3400
78,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,27/03/2017,3350,3500,3400
79,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,28/03/2017,3350,3500,3450
80,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,29/03/2017,3350,3500,3450
81,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,30/03/2017,3000,3500,3250
82,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,31/03/2017,3000,3500,3250
83,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,01/04/2017,3150,3500,3250
84,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,02/04/2017,3000,3500,3375
85,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,03/04/2017,3000,3500,3375
86,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,04/04/2017,3000,3500,3375
87,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,05/04/2017,3250,3550,3500
88,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,06/04/2017,3000,3450,3150
89,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,07/04/2017,3000,3450,3150
90,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,08/04/2017,3000,3500,3250
91,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,09/04/2017,3000,3400,3250
92,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,10/04/2017,3200,3500,3350
93,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,11/04/2017,3000,3500,3250
94,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,12/04/2017,3000,3500,3250
95,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,13/04/2017,3000,3500,3300
96,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,15/04/2017,3000,3500,3300
97,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,16/04/2017,3300,3500,3400
98,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,17/04/2017,3250,3500,3300
99,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,18/04/2017,3000,3500,3300
100,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,19/04/2017,3000,3500,3250
101,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,23/04/2017,3000,3300,3200
102,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,24/04/2017,3150,3300,3200
103,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,25/04/2017,3125,3300,3250
104,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,26/04/2017,3000,3300,3200
105,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,27/04/2017,3000,3300,3150
106,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,28/04/2017,3150,3300,3250
107,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,29/04/2017,3000,3300,3250
108,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,30/04/2017,3000,3300,3200
109,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,01/05/2017,3000,3375,3250
110,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,02/05/2017,3000,3350,3250
111,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,03/05/2017,3000,3300,3250
112,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,04/05/2017,3000,3500,3350
113,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,05/05/2017,3000,3500,3375
114,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,06/05/2017,3125,3500,3250
115,1518598856,Assam,Barpeta,Bohorihat,Corriander seed,Other,07/05/2017,3000,3500,3250
