"document_id","timestamp","state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"1","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","01/01/2017","1200","2000","1600"
"2","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","07/01/2017","1000","1700","1500"
"3","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","08/01/2017","1000","1700","1500"
"4","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","09/01/2017","1000","1500","1200"
"5","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","10/01/2017","1000","1500","1200"
"6","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","11/01/2017","1000","1500","1300"
"7","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","13/01/2017","1000","1500","1200"
"8","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","15/01/2017","500","1500","1000"
"9","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","16/01/2017","500","2000","1500"
"10","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","17/01/2017","800","2000","1500"
"11","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","18/01/2017","1000","1500","1300"
"12","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","19/01/2017","1000","2000","1500"
"13","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","20/01/2017","1000","1500","1200"
"14","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","22/01/2017","1000","1600","1500"
"15","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","23/01/2017","2000","2500","2300"
"16","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","24/01/2017","2000","2500","2200"
"17","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","25/01/2017","1500","2000","1700"
"18","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","26/01/2017","1200","1700","1500"
"19","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","28/01/2017","1500","2000","2000"
"20","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","29/01/2017","1500","2000","1700"
"21","1518599114","Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","30/01/2017","1300","2000","1800"
